handle,source_url,supplied_by,note
guillemin-male,https://www.hydropart.ru/catalog/gidravlika/soed_arm/guillemin/male_thread_lockring/,Stefsotra,"REMOVED: the file carries a www.hydropart.ru watermark, so the photograph is hydropart.ru's, not Stefsotra's"
guillemin-female-with-latch,https://www.hydropart.ru/catalog/gidravlika/soed_arm/guillemin/internal_thread_lockring/,Stefsotra,"REMOVED: the file carries a www.hydropart.ru watermark, so the photograph is hydropart.ru's, not Stefsotra's"
guillemin-male-without-latch,https://www.hydropart.ru/catalog/gidravlika/soed_arm/guillemin/without_latch_female_thread/,Stefsotra,"REMOVED: the file carries a www.hydropart.ru watermark, so the photograph is hydropart.ru's, not Stefsotra's"
guillemin-female,https://www.hydropart.ru/catalog/gidravlika/soed_arm/guillemin/male_threaded_locking_ring/,Stefsotra,"REMOVED: the file carries a www.hydropart.ru watermark, so the photograph is hydropart.ru's, not Stefsotra's"
guillemin-blind-cap,https://www.hydropart.ru/catalog/gidravlika/soed_arm/guillemin/plug_locking_ring/,Stefsotra,"REMOVED: the file carries a www.hydropart.ru watermark, so the photograph is hydropart.ru's, not Stefsotra's"
guillemin-hose-end-with-latch,https://www.hydropart.ru/catalog/gidravlika/soed_arm/guillemin/hose_lockingring/,Stefsotra,"REMOVED: the file carries a www.hydropart.ru watermark, so the photograph is hydropart.ru's, not Stefsotra's"
guillemin-reducer,https://www.hydropart.ru/catalog/gidravlika/soed_arm/guillemin/reduc_adapter/,Stefsotra,"REMOVED: the file carries a www.hydropart.ru watermark, so the photograph is hydropart.ru's, not Stefsotra's"
guillemin-gasket,https://www.hydropart.ru/catalog/gidravlika/soed_arm/guillemin/gasket/,Stefsotra,"REMOVED: the file carries a www.hydropart.ru watermark, so the photograph is hydropart.ru's, not Stefsotra's"
tw-coupling-mk-stainless,https://kamloki.ru/tw-soedinenie/soedinenie-tw-mk80-iz-nerzhaveyushhey-stali/,Stefsotra,
tw-coupling-vk-brass,https://kamloki.ru/tw-soedinenie/soedinenie-tw-vk80-iz-latuni/,Stefsotra,
tw-coupling-mb-stainless,https://kamloki.ru/tw-soedinenie/soedinenie-tw-mb80-ss/,Stefsotra,
tw-coupling-vb-stainless,https://kamloki.ru/tw-soedinenie/soedinenie-tw-vb80-ss/,Stefsotra,
tw-coupling-vk-stainless,https://kamloki.ru/tw-soedinenie/soedinenie-tw-vk80-iz-nerzhaveyushhey-stali/,Stefsotra,
